# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_009649475.1	PRJNA224116	SAMN13186404	WJNC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=N2J		latest	Contig	Major	Full	2019/11/11	ASM964947v1	University of Wisconsin - Madison	GCA_009649475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/475/GCF_009649475.1_ASM964947v1		
GCF_009649495.1	PRJNA224116	SAMN13186403	WJNB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=Lr4000		latest	Contig	Major	Full	2019/11/11	ASM964949v1	University of Wisconsin - Madison	GCA_009649495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/495/GCF_009649495.1_ASM964949v1		
GCF_009649505.1	PRJNA224116	SAMN13186399	WJMX00000000.1	na	1598	1598	Lactobacillus reuteri	strain=CR		latest	Contig	Major	Full	2019/11/11	ASM964950v1	University of Wisconsin - Madison	GCA_009649505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/505/GCF_009649505.1_ASM964950v1		
GCF_009649535.1	PRJNA224116	SAMN13186407	WJNF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=One-one		latest	Contig	Major	Full	2019/11/11	ASM964953v1	University of Wisconsin - Madison	GCA_009649535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/535/GCF_009649535.1_ASM964953v1		
GCF_009649545.1	PRJNA224116	SAMN13186401	WJMZ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=L1604-1		latest	Contig	Major	Full	2019/11/11	ASM964954v1	University of Wisconsin - Madison	GCA_009649545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/545/GCF_009649545.1_ASM964954v1		
GCF_009649565.1	PRJNA224116	SAMN13186402	WJNA00000000.1	na	1598	1598	Lactobacillus reuteri	strain=Lr4020		latest	Contig	Major	Full	2019/11/11	ASM964956v1	University of Wisconsin - Madison	GCA_009649565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/565/GCF_009649565.1_ASM964956v1		
GCF_009649595.1	PRJNA224116	SAMN13186398	WJMW00000000.1	na	1598	1598	Lactobacillus reuteri	strain=AD23		latest	Contig	Major	Full	2019/11/11	ASM964959v1	University of Wisconsin - Madison	GCA_009649595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/595/GCF_009649595.1_ASM964959v1		
GCF_009649605.1	PRJNA224116	SAMN13186405	WJND00000000.1	na	1598	1598	Lactobacillus reuteri	strain=N4I		latest	Contig	Major	Full	2019/11/11	ASM964960v1	University of Wisconsin - Madison	GCA_009649605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/605/GCF_009649605.1_ASM964960v1		
GCF_009649645.1	PRJNA224116	SAMN13186397	WJMV00000000.1	na	1598	1598	Lactobacillus reuteri	strain=6799jm-1		latest	Contig	Major	Full	2019/11/11	ASM964964v1	University of Wisconsin - Madison	GCA_009649645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/649/645/GCF_009649645.1_ASM964964v1		
GCF_009733615.1	PRJNA224116	SAMN13161586	WLWA00000000.1	na	1598	1598	Lactobacillus reuteri	strain=G01_USFQ		latest	Contig	Major	Full	2019/12/06	ASM973361v1	Universidad San Francisco de Quito	GCA_009733615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/733/615/GCF_009733615.1_ASM973361v1		
GCF_009733645.1	PRJNA224116	SAMN13161645	WLWC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=G03_USFQ		latest	Contig	Major	Full	2019/12/06	ASM973364v1	Universidad San Francisco de Quito	GCA_009733645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/733/645/GCF_009733645.1_ASM973364v1		
GCF_009733655.1	PRJNA224116	SAMN13161644	WLWB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=G02_USFQ		latest	Contig	Major	Full	2019/12/06	ASM973365v1	Universidad San Francisco de Quito	GCA_009733655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/733/655/GCF_009733655.1_ASM973365v1		
GCF_900093565.1	PRJNA224116	SAMEA4083360	FLYC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=L6798		latest	Scaffold	Major	Full	2019/07/11	PRJEB14722	URMITE	GCA_900093565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/093/565/GCF_900093565.1_PRJEB14722		
GCF_901600665.1	PRJNA224116	SAMEA5606431	CABFIV000000000.1	na	1598	1598	Lactobacillus reuteri	strain=Marseille-P4870		latest	Scaffold	Major	Full	2019/05/25	PRJEB32461-P4870	URMITE	GCA_901600665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/600/665/GCF_901600665.1_PRJEB32461-P4870		
GCF_901600675.1	PRJNA224116	SAMEA5606434	CABFIW000000000.1	na	1598	1598	Lactobacillus reuteri	strain=Marseille-P5461		latest	Scaffold	Major	Full	2019/05/26	PRJEB32461-P5461	URMITE	GCA_901600675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/600/675/GCF_901600675.1_PRJEB32461-P5461		
GCF_901600695.1	PRJNA224116	SAMEA5606433	CABFIU000000000.1	na	1598	1598	Lactobacillus reuteri	strain=Marseille-P5460		latest	Scaffold	Major	Full	2019/05/26	PRJEB32461-P5460	URMITE	GCA_901600695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/600/695/GCF_901600695.1_PRJEB32461-P5460		
GCF_901600705.1	PRJNA224116	SAMEA5606432	CABFIX000000000.1	na	1598	1598	Lactobacillus reuteri	strain=Marseille-P4904		latest	Scaffold	Major	Full	2019/05/25	PRJEB32461-P4904	URMITE	GCA_901600705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/600/705/GCF_901600705.1_PRJEB32461-P4904		
GCF_901971765.1	PRJNA224116	SAMEA5674231	CABFNG000000000.1	na	1598	1598	Lactobacillus reuteri	strain=INIA P572	INIA P572	latest	Contig	Major	Full	2019/06/26	INIA P572	UVEG	GCA_901971765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/971/765/GCF_901971765.1_INIA_P572		
