# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	798911	799774	-	WP_003669468.1	WP_003669468.1		aldo/keto reductase			HMPREF0536_RS09855	864	287	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	799916	800413	-							HMPREF0536_RS09860	498		old_locus_tag=HMPREF0536_11933
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	799916	800413	-	WP_003669470.1	WP_003669470.1		N-acetyltransferase			HMPREF0536_RS09860	498	165	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	800451	801056	-							HMPREF0536_RS09865	606		old_locus_tag=HMPREF0536_11934
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	800451	801056	-	WP_003669472.1	WP_003669472.1		signal peptidase I			HMPREF0536_RS09865	606	201	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	801369	802613	-							HMPREF0536_RS09870	1245		old_locus_tag=HMPREF0536_11935
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	801369	802613	-	WP_003669474.1	WP_003669474.1		carboxylate--amine ligase			HMPREF0536_RS09870	1245	414	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	802631	804181	-							HMPREF0536_RS09875	1551		old_locus_tag=HMPREF0536_11936
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	802631	804181	-	WP_003669475.1	WP_003669475.1		UDP-N-acetylmuramyl-tripeptide synthetase			HMPREF0536_RS09875	1551	516	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	804323	806242	-							HMPREF0536_RS09880	1920		old_locus_tag=HMPREF0536_11937
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	804323	806242	-	WP_004562477.1	WP_004562477.1		asparagine synthase (glutamine-hydrolyzing)			HMPREF0536_RS09880	1920	639	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	806441	808384	-							HMPREF0536_RS09885	1944		old_locus_tag=HMPREF0536_11938
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	806441	808384	-	WP_003669479.1	WP_003669479.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG			HMPREF0536_RS09885	1944	647	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	808396	809784	-							HMPREF0536_RS09890	1389		old_locus_tag=HMPREF0536_11939
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	808396	809784	-	WP_011953607.1	WP_011953607.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE			HMPREF0536_RS09890	1389	462	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	809941	810708	-							HMPREF0536_RS09895	768		old_locus_tag=HMPREF0536_11940
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	809941	810708	-	WP_003669482.1	WP_003669482.1		KH domain-containing protein			HMPREF0536_RS09895	768	255	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	810804	811595	-							HMPREF0536_RS09900	792		old_locus_tag=HMPREF0536_11941
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	810804	811595	-	WP_003665222.1	WP_003665222.1		membrane protein			HMPREF0536_RS09900	792	263	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	811641	811994	-							HMPREF0536_RS09905	354		old_locus_tag=HMPREF0536_11942
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	811641	811994	-	WP_003669484.1	WP_003669484.1		ribonuclease P protein component			HMPREF0536_RS09905	354	117	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	812133	812267	-							HMPREF0536_RS09910	135		old_locus_tag=HMPREF0536_11943
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	812133	812267	-	WP_003665227.1	WP_003665227.1		50S ribosomal protein L34			HMPREF0536_RS09910	135	44	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	812763	814085	+							HMPREF0536_RS09915	1323		old_locus_tag=HMPREF0536_11944
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	812763	814085	+	WP_003669485.1	WP_003669485.1		chromosomal replication initiator protein DnaA			HMPREF0536_RS09915	1323	440	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	814261	815403	+							HMPREF0536_RS09920	1143		old_locus_tag=HMPREF0536_11945
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	814261	815403	+	WP_003669487.1	WP_003669487.1		DNA polymerase III subunit beta			HMPREF0536_RS09920	1143	380	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	815650	815871	+							HMPREF0536_RS09925	222		old_locus_tag=HMPREF0536_11946
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	815650	815871	+	WP_003665230.1	WP_003665230.1		S4 domain-containing protein YaaA			HMPREF0536_RS09925	222	73	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	815880	817004	+							HMPREF0536_RS09930	1125		old_locus_tag=HMPREF0536_11947
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	815880	817004	+	WP_003669488.1	WP_003669488.1		DNA replication and repair protein RecF			HMPREF0536_RS09930	1125	374	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	817031	818950	+							HMPREF0536_RS09935	1920		old_locus_tag=HMPREF0536_11948
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	817031	818950	+	WP_035152443.1	WP_035152443.1		DNA topoisomerase (ATP-hydrolyzing) subunit B			HMPREF0536_RS09935	1920	639	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	818993	821497	+							HMPREF0536_RS09940	2505		old_locus_tag=HMPREF0536_11949
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	818993	821497	+	WP_003669490.1	WP_003669490.1		DNA gyrase subunit A			HMPREF0536_RS09940	2505	834	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	821700	821996	+							HMPREF0536_RS09945	297		old_locus_tag=HMPREF0536_11950
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	821700	821996	+	WP_003665235.1	WP_003665235.1		30S ribosomal protein S6			HMPREF0536_RS09945	297	98	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	822034	822597	+							HMPREF0536_RS09950	564		old_locus_tag=HMPREF0536_11951
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	822034	822597	+	WP_003669492.1	WP_003669492.1		single-stranded DNA-binding protein			HMPREF0536_RS09950	564	187	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	822631	822867	+							HMPREF0536_RS09955	237		old_locus_tag=HMPREF0536_11952
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	822631	822867	+	WP_003665240.1	WP_003665240.1		30S ribosomal protein S18			HMPREF0536_RS09955	237	78	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	823084	825102	+							HMPREF0536_RS09960	2019		old_locus_tag=HMPREF0536_11953
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	823084	825102	+	WP_003669494.1	WP_003669494.1		DHH family phosphoesterase			HMPREF0536_RS09960	2019	672	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	825108	825560	+							HMPREF0536_RS09965	453		old_locus_tag=HMPREF0536_11954
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	825108	825560	+	WP_003665243.1	WP_003665243.1		50S ribosomal protein L9			HMPREF0536_RS09965	453	150	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	825594	826985	+							HMPREF0536_RS09970	1392		old_locus_tag=HMPREF0536_11955
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	825594	826985	+	WP_003669497.1	WP_003669497.1		replicative DNA helicase			HMPREF0536_RS09970	1392	463	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	827107	828309	+							HMPREF0536_RS09975	1203		old_locus_tag=HMPREF0536_11956
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	827107	828309	+	WP_003669499.1	WP_003669499.1		MFS transporter			HMPREF0536_RS09975	1203	400	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	828322	828648	+							HMPREF0536_RS09980	327		old_locus_tag=HMPREF0536_11957
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	828322	828648	+	WP_003669501.1	WP_003669501.1		hypothetical protein			HMPREF0536_RS09980	327	108	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	828747	829631	+							HMPREF0536_RS09985	885		old_locus_tag=HMPREF0536_11958
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	828747	829631	+	WP_003669503.1	WP_003669503.1		hypothetical protein			HMPREF0536_RS09985	885	294	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	829661	830218	-							HMPREF0536_RS09990	558		old_locus_tag=HMPREF0536_11959
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	829661	830218	-	WP_003669505.1	WP_003669505.1		XRE family transcriptional regulator			HMPREF0536_RS09990	558	185	
gene	tRNA	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	830595	830670	-							HMPREF0536_RS09995	76		old_locus_tag=HMPREF0536_t10088
tRNA		GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	830595	830670	-				tRNA-Lys			HMPREF0536_RS09995	76		anticodon=CTT
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	830820	831254	+							HMPREF0536_RS10000	435		old_locus_tag=HMPREF0536_11960
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	830820	831254	+	WP_003669506.1	WP_003669506.1		MarR family transcriptional regulator			HMPREF0536_RS10000	435	144	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	831342	833063	+							HMPREF0536_RS10005	1722		old_locus_tag=HMPREF0536_11961
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	831342	833063	+	WP_003669507.1	WP_003669507.1		ABC transporter ATP-binding protein			HMPREF0536_RS10005	1722	573	
gene	tRNA	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	833156	833231	-							HMPREF0536_RS10010	76		old_locus_tag=HMPREF0536_t10089
tRNA		GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	833156	833231	-				tRNA-Lys			HMPREF0536_RS10010	76		anticodon=CTT
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	833407	834114	+							HMPREF0536_RS10015	708		old_locus_tag=HMPREF0536_11962
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	833407	834114	+	WP_011953351.1	WP_011953351.1		DNA-binding response regulator			HMPREF0536_RS10015	708	235	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	834128	835993	+							HMPREF0536_RS10020	1866		old_locus_tag=HMPREF0536_11963
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	834128	835993	+	WP_003665258.1	WP_003665258.1		cell wall metabolism sensor histidine kinase WalK			HMPREF0536_RS10020	1866	621	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	835971	837266	+							HMPREF0536_RS10025	1296		old_locus_tag=HMPREF0536_11964
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	835971	837266	+	WP_003669512.1	WP_003669512.1		hypothetical protein			HMPREF0536_RS10025	1296	431	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	837279	838121	+							HMPREF0536_RS10030	843		old_locus_tag=HMPREF0536_11965
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	837279	838121	+	WP_003669514.1	WP_003669514.1		hypothetical protein			HMPREF0536_RS10030	843	280	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	838139	838945	+							HMPREF0536_RS10035	807		old_locus_tag=HMPREF0536_11966
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	838139	838945	+	WP_003669515.1	WP_003669515.1		MBL fold metallo-hydrolase			HMPREF0536_RS10035	807	268	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	839047	840321	+							HMPREF0536_RS10040	1275		old_locus_tag=HMPREF0536_11967
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	839047	840321	+	WP_003669517.1	WP_003669517.1		PDZ domain-containing protein			HMPREF0536_RS10040	1275	424	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	840550	841047	+							HMPREF0536_RS10045	498		old_locus_tag=HMPREF0536_11968
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	840550	841047	+	WP_011953352.1	WP_011953352.1		phosphatidylglycerophosphatase A			HMPREF0536_RS10045	498	165	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	841356	842342	+							HMPREF0536_RS10050	987		old_locus_tag=HMPREF0536_11969
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	841356	842342	+	WP_011953353.1	WP_011953353.1		peptide ABC transporter substrate-binding protein			HMPREF0536_RS10050	987	328	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	842811	843290	+							HMPREF0536_RS10055	480		old_locus_tag=HMPREF0536_11970
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	842811	843290	+	WP_011953354.1	WP_011953354.1		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH			HMPREF0536_RS10055	480	159	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	843433	843651	+							HMPREF0536_RS10060	219		old_locus_tag=HMPREF0536_11971
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	843433	843651	+	WP_003669523.1	WP_003669523.1		hypothetical protein			HMPREF0536_RS10060	219	72	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	843719	844261	+							HMPREF0536_RS10065	543		old_locus_tag=HMPREF0536_11972
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	843719	844261	+	WP_003669525.1	WP_003669525.1		NAD(P)H-dependent oxidoreductase			HMPREF0536_RS10065	543	180	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	844480	845652	+							HMPREF0536_RS10070	1173		old_locus_tag=HMPREF0536_11973
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	844480	845652	+	WP_011953356.1	WP_011953356.1		1,3-propanediol dehydrogenase			HMPREF0536_RS10070	1173	390	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	845896	846759	+							HMPREF0536_RS10075	864		old_locus_tag=HMPREF0536_11974
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	845896	846759	+	WP_003665279.1	WP_003665279.1		sugar transporter			HMPREF0536_RS10075	864	287	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	846874	847650	-							HMPREF0536_RS10080	777		old_locus_tag=HMPREF0536_11975
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	846874	847650	-	WP_011953357.1	WP_011953357.1		VOC family protein			HMPREF0536_RS10080	777	258	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	847652	848464	-							HMPREF0536_RS10085	813		old_locus_tag=HMPREF0536_11976
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	847652	848464	-	WP_003669531.1	WP_003669531.1		pyrroline-5-carboxylate reductase			HMPREF0536_RS10085	813	270	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	848765	850138	+							HMPREF0536_RS10090	1374		old_locus_tag=HMPREF0536_11977
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	848765	850138	+	WP_003669532.1	WP_003669532.1		NAD-dependent succinate-semialdehyde dehydrogenase			HMPREF0536_RS10090	1374	457	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	850314	851396	+							HMPREF0536_RS10095	1083		old_locus_tag=HMPREF0536_11979
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	850314	851396	+	WP_003669536.1	WP_003669536.1		efflux RND transporter periplasmic adaptor subunit			HMPREF0536_RS10095	1083	360	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	851398	852096	+							HMPREF0536_RS10100	699		old_locus_tag=HMPREF0536_11980
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	851398	852096	+	WP_011953358.1	WP_011953358.1		ABC transporter ATP-binding protein			HMPREF0536_RS10100	699	232	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	852083	853318	+							HMPREF0536_RS10105	1236		old_locus_tag=HMPREF0536_11981
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	852083	853318	+	WP_003669538.1	WP_003669538.1		ABC transporter permease			HMPREF0536_RS10105	1236	411	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	853569	853973	+							HMPREF0536_RS10110	405		old_locus_tag=HMPREF0536_11982
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	853569	853973	+	WP_003669539.1	WP_003669539.1		hypothetical protein			HMPREF0536_RS10110	405	134	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	854309	855703	+							HMPREF0536_RS10115	1395		old_locus_tag=HMPREF0536_11984
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	854309	855703	+	WP_003669543.1	WP_003669543.1		hypothetical protein			HMPREF0536_RS10115	1395	464	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	855993	856469	+							HMPREF0536_RS10120	477		old_locus_tag=HMPREF0536_11986
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	855993	856469	+	WP_003669546.1	WP_003669546.1		hypothetical protein			HMPREF0536_RS10120	477	158	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	856552	856980	-							HMPREF0536_RS10125	429		old_locus_tag=HMPREF0536_11987
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	856552	856980	-	WP_003669548.1	WP_003669548.1		OsmC family peroxiredoxin			HMPREF0536_RS10125	429	142	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	857048	858043	-							HMPREF0536_RS10130	996		old_locus_tag=HMPREF0536_11988
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	857048	858043	-	WP_003669550.1	WP_003669550.1		lactate dehydrogenase			HMPREF0536_RS10130	996	331	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	858045	859232	-							HMPREF0536_RS10135	1188		old_locus_tag=HMPREF0536_11989
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	858045	859232	-	WP_003669551.1	WP_003669551.1		aspartate aminotransferase			HMPREF0536_RS10135	1188	395	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	859740	859961	+							HMPREF0536_RS10140	222		old_locus_tag=HMPREF0536_11990
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	859740	859961	+	WP_003669553.1	WP_003669553.1		hypothetical protein			HMPREF0536_RS10140	222	73	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	860079	862316	+							HMPREF0536_RS10145	2238		old_locus_tag=HMPREF0536_11991
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	860079	862316	+	WP_003669555.1	WP_003669555.1		ATP-dependent Clp protease ATP-binding subunit			HMPREF0536_RS10145	2238	745	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	863205	866060	+							HMPREF0536_RS10150	2856		old_locus_tag=HMPREF0536_11993
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	863205	866060	+	WP_003669559.1	WP_003669559.1		hypothetical protein			HMPREF0536_RS10150	2856	951	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	866142	866768	-							HMPREF0536_RS10155	627		old_locus_tag=HMPREF0536_11994
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	866142	866768	-	WP_003669560.1	WP_003669560.1		N-acetyltransferase			HMPREF0536_RS10155	627	208	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	866866	868329	+							HMPREF0536_RS10160	1464		old_locus_tag=HMPREF0536_11995
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	866866	868329	+	WP_003669563.1	WP_003669563.1		cardiolipin synthase			HMPREF0536_RS10160	1464	487	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	868458	872240	+							HMPREF0536_RS10165	3783		old_locus_tag=HMPREF0536_11996
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	868458	872240	+	WP_003669564.1	WP_003669564.1		ATP-dependent helicase/deoxyribonuclease subunit B			HMPREF0536_RS10165	3783	1260	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	872240	876418	+							HMPREF0536_RS10170	4179		old_locus_tag=HMPREF0536_11997
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	872240	876418	+	WP_003669565.1	WP_003669565.1		ATP-dependent helicase/nuclease subunit A			HMPREF0536_RS10170	4179	1392	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	876419	877354	+							HMPREF0536_RS10175	936		old_locus_tag=HMPREF0536_11998
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	876419	877354	+	WP_003669567.1	WP_003669567.1		LacI family transcriptional regulator			HMPREF0536_RS10175	936	311	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	877418	878596	+							HMPREF0536_RS10180	1179		old_locus_tag=HMPREF0536_11999
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	877418	878596	+	WP_003669568.1	WP_003669568.1		acetyl-CoA C-acetyltransferase			HMPREF0536_RS10180	1179	392	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	878908	880257	+							HMPREF0536_RS10185	1350		old_locus_tag=HMPREF0536_12000
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	878908	880257	+	WP_003669570.1	WP_003669570.1		MFS transporter			HMPREF0536_RS10185	1350	449	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	880346	882598	+							HMPREF0536_RS10190	2253		old_locus_tag=HMPREF0536_12001
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	880346	882598	+	WP_003669571.1	WP_003669571.1		glycoside hydrolase family 65 protein			HMPREF0536_RS10190	2253	750	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	882617	883279	+							HMPREF0536_RS10195	663		old_locus_tag=HMPREF0536_12002
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	882617	883279	+	WP_003669573.1	WP_003669573.1		beta-phosphoglucomutase			HMPREF0536_RS10195	663	220	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	883356	883838	+							HMPREF0536_RS10200	483		old_locus_tag=HMPREF0536_12003
